用户名,评论
_Hepburn_,已经7天了，受害者及其家属仿佛与世隔绝，杳无音信，连同其所在的医院。
埃索的老虎,"6月22日凌晨1时许，江苏连云港东海县步行街附近发生多人围殴一女子事件。画面显示，多名年轻女生不停地踢踹、辱骂、撕扯一躺倒在地的女子，还有一女生手持棍状物朝躺倒女生身上用力打击，一旁围观了多名年轻男女，有一名疑似同行男生在拉架。22日，当地派出所民警称，此事当晚已出警，事件正在处理中。
罗翔怎么评价这件事呢？"
两只冰的b三棺,明明是黑社会性质的事件，为什么有些人要上升到男女对立呀[疑惑]
慕_学纪,说到底，这个时候还出来说不是所有男的都这样的，不应该攻击全体男性的“人”，他们本身根本就没有意识到自身性别给他们带来的优势与安全感，并且放弃了去与弱势群体共情和换位理解的机会，而不是因为……他有多“理性”多“客观”
枫原那啥子萬葉,"学学人家大风，开点逆风团这么难吗🤗
BV1Ef4y1f7aM
BV1p3411u7Di"
66187135359_bili,最热心的永远是网友，最冷漠的永远是路人，究竟是网友不出门还是路人不上网[微笑]
山东TV___李鑫,https://b23.tv/BV1Ef4y1f7aM
ShuiZhuRou778,关于我马上考六级了还在看张三这件事[doge]
DARLING002-,注意罗老师全程用“他人”来称呼此类被害人，而不是“♀”
瑩瑩投递员,郑州人民银行！
唯有干拉才能维持生活,【性质恶劣！连云港又发生一起围殴事件-哔哩哔哩】 https://b23.tv/XSuvDWj
不是丹妮,我想问一下，如果我一个女孩我想见义勇为，就是我驾驶技术好的话，我直接用车撞行不行？
xxxgiy,成都两女子骗人救狗，但青年事后溺亡，在溺亡过程中两女没有报警和周边呼救，而是逃跑，这应该怎么判？
别急可以提高中奖概率,微博相关热评底下完全变成极端者发泄情绪的端口，我没有看到一丝一毫对受害者的同情，全是以此事为契机，大肆发泄情绪，借口攻击另一方，在这些人内心最深处，甚至希望受害者伤情越重越好，这样ta们就能发表更加极端的仇恨言论了
小丁ska,只敢打顺风局是吧？[吃瓜]
路人男主D,https://b23.tv/BV1DW4y167iX
巨巨巨巨爱吃香菜,我最想知道的是受害者分别受了什么伤，伤多重，有没有医学鉴定文书，让大家知道她们被打成多重的上了，需要多少赔偿弥补她们的身心伤害，我不想只听见一句“受害者已经脱离生命危险”，人难道只有气就行吗？
冠青之林,人畜对立，并非男女对立
阿姆斯特朗回旋喷气炮啊,我发现一件事，这些百大up们多火多火的，结果没有几个为唐山发声的😢
赵丧丧,为什么有人会杠罗老师啊 罗老师也没绝对说怎么判吧[微笑]
雲染無憂,他们不是打人不是打架，而是当街虐杀！
别之夢,"两女子骗人救狗，但青年事后溺亡，在溺亡过程中两女没有报警和周边呼救，而是逃跑，这应该怎么判？https://b23.tv/BV1YN4y137WT 
https://b23.tv/BV1Ef4y1f7aM"
