用户名,评论
BLACKWICE,第一次看见同时有7.5万+网友同时观看，支持严惩
王炸就炸这对三,我经常会问自己，如果遇到这种事会不会挺身而出，我想不会，虽然愤怒，但我不得不承认自己一直以来的懦弱，胆怯，我想我一定是很阴暗的人，自我定义的善者，实际意义的恶人。
赛福特啦卡,老师，不是故意杀人罪嘛
念念不忘-在风暴中央,有啥用啊
_鲷鱼烧,可是受害者愿意施暴者用金钱来赔偿的话 会不会没办法给予他很重的惩罚
呆呆猫__,牢底坐穿吧，最好里面被人问候一声
上善aa,所以如果我是普通目击者，我应该怎么做？
闰土想暴富,这个到底可以定性为杀人未遂嘛求解（手动加滑稽）虽然是个沉重的问题但我还是怕被网暴，您说啥都对我不予评价，我只是求解，有大佬解答吗
五玄机机,绝望
南丁格子,看到这个就想到了罗老师
卡布的狙击手替补,是真的很难过很无力，哎…
我是sweetest,作为一个女生，我可以很负责任的说，哪怕不是看完全部，就只是看到一点点动图，就已经很生气，很害怕，我昨天十一点多看到的时候，一直到凌晨两点钟都睡不着觉，就觉得害怕，我把我自己想象成那个女生，我是真的感觉到很恐惧很害怕，想象成周围的人，我想去帮忙，但是我一个人的力量太小了。我也有我自己的家庭，也会害怕，女性真的是不是不管到什么时候都是属于弱势的那一方，是不是不管社会变到那个程度，那个国家，要是发生这样的事都是没办法避免的，我想要是我真的遇到，我真的会无能为力，我绞尽脑汁，我都想不出来，要是当时我在现场，我该怎么办才能让这个女生的伤害不发生，我没办法，我哪怕急死，我也没办法帮到她啊！
鹿鹿和憨憨,唉
深度漫游D,说得好！
bili_17913098203,结尾令人深思
油条大劈叉,不算故意杀人吗
riuyyuut,这个事看得真气人，最气人的是居然没有一个见义勇为的人，我想问下假如在当时这个情况下有那么个能打的退伍军人上去帮忙把这几个人都打趴下了那么这个军人会负刑事责任吗？
盐酸中檗碱,BV1yZ4y1H7gD
盐酸中檗碱,BV1J4411M7bt
芝士奶盖加奥利奥,谢谢老师
爱你么么么么哒哒,最后一句，很震撼！
不懂政治,要杜绝类似事件，这次事件的处理结果要做完为案例。
雅过敏晚期,少说话，明年给您升个级，就这样吧[OK]
三舌_stst,有人直接开始批判受害者了 看我动态
我得随便取个什么名字,空间看到人已经放了，不知道是不是真的
黎溪阳,@小二西吖 看看罗老师怎么说
火狐飘逸,这样解释发愤感觉更和谐了
账号已注销,与地方无关，坏人就是坏人，好人就是好人。
空心ヾ,这种人进去会被重点“关照”的 还有就是那些故意蹭流量的自媒体真恶心[呆]
你又能怎样bb,罗老师及时普法[支持][支持][支持][支持]
2024之高考生,所以如果我见义勇为是正当防吗
歪歪歪CC,看到这件事真的很愤怒
喵深,卧槽这观看人数
一宣kon,罗老师[支持]这种案件下还会自我反思，也带着大家在愤怒中自省 真想把币都投给您
来瓶七喜OuO,我是不敢的，但报警肯定是必然的。一旦事情涉及到团伙了，我还是会打怵的
CLICKCLICL,"讲真，这次事件如果有人见义勇为把施暴者致残乃至
杀死会被判吗？我就想明白这一点……如果会，那从我的角度来说，我没有这个勇气去见义勇为了"
贪恋山风,"“你的内心，真正尊重吗？你说了那么多让你自我感动的话，但是如果在案发现场，你会不会挺身而出，像你想象中那么的勇敢和正直呢？”
仔细想来我应该是不敢的，这些挺身而出的人身上迸发出的人性光辉让我震撼，但是我做不到。从小学到的知识是遇到危险首先保证人身安全，保证了人身安全再维护自己的权益，无法保证人身安全的情况那就只能随机应变了，但这种困境概率极小，还是保证安全为第一优先吧。"
莱茵河畔RUA着猫,最后那句话太真实了
じ喜多川ゞ,以前这样的很多，为啥这个动静那么大？
迷路的屑灰灰,@pesr-Taki
是嗰美女,可能如果是我在现场的话，我也不敢去拉，我会马上报警。真的太吓人了。这么多标形大汉，凶神恶煞。所以事情发生了，我们必须要求严惩。要让这些人得到应有的惩罚。警示所有的潜在的坏人。让犯罪成本提高，才能让那些人不敢去犯罪。想一想，如果我是当事人，我肯定也没有更好的办法了，除了挨打。真的可怕。
Mr_白起,播放都要破亿了
shinra,谢谢你老师，人本身就是目的
死神绝对禁书,我想知道，如果我身边真的发生了这种事，我和几个朋友与他们发生斗殴，那是算互殴还是见义勇为[思考][思考][思考]
老邪和鹿人的第三者,这件事对我的生活有什么影响呢，昨天开始我在路上遇到又高又壮的中年人，就已经开始想绕着他走了[doge][doge][doge]。控制不住。
蜂蜜柚子茶zsy,事情发生的前一天，我也在晚上吃烧烤，也被搭讪，但是我和朋友没说话，我们也是刚高考完的毕业生[委屈][委屈][委屈][委屈]
账号已注销,少喝点酒吧，喝酒真的不是好习惯，酒后无德
_失落的一角,世间多有苦难，我不知道我能做什么事，但我知道该做什么事。
顾北網南,恶是原罪
被强迫症迫害的女子,个人看法:见义勇为的前提是保证自己的安全，在这种情况下旁观者没有出手帮助不该被指责，他们可能也震惊愤怒，但是也会恐惧，对自己没有很大信心这种情况上去就是鸡蛋碰石头，而且正当防卫的界限也很模糊，事后就是躺医院或拘留或者直接成盒。这事带入当事人或旁观者身上都不好受。最后希望能判重一点[保佑]
天生永远有情,如果路人都可以抄家伙上就好了，我不知道算不算聚众斗殴啊，但是我觉得人够多那些混混会被吓退
蜂蜜柚子茶zsy,事情发生的前一天，我也在晚上吃烧烤，也被搭讪，但是我和朋友没说话，我们也是刚高考完的毕业生
盖列亚,我觉得应该为两人以上的共同犯罪增加一条团伙罪纳入增加量刑的标准
DoxenLiu,犯法的判刑年限应必要加大，也是降低犯罪犯法率的一种办法
可乐_要加冰__,是啊 什么时候能真正把人当成人看 尊重每个人的人格尊严就好了
饭团我会记得你,@爱喝旺仔的富贵
寂月蝉,嫉恶如仇就完事儿了。
账号已注销,点错了
一点心玉,看一次 就愤怒一次 就哭一次 好无奈 好绝望 好恐怖
今日无更-,如果我去拉架会怎么样
风流倜傥是我,我要遇见了tm带上几个人就上了
aps-xiao,朋友们，如果类似事件发生在我们自己亲人身上，我们到底该怎么做，怎么避免，搞得我很头疼，很不舒服。
逸凌s,[生气]
LEONLEE666,张三你怎么看？
悠志远,"最后的一问经典！我也心里问过自己！
答案是可能会，也可能不会！"
上官萧林,罗老师，在终于出现了[大哭]
雁渡寒潭j,老师多喝点水，辛苦了，嗓子都哑了
青闲莳花,看完视频气的我说不出话来，心跳加速，真的太气愤了，社会败类啊
子子舒舒,看到那个监控视屏，越看越气，越想越气。真的，真的必须严惩那些坏人！！！！[生气]
三国兵痞,这些人5年走起不过分吧
LinhaiSuccess,罗老师都发声了，可见这案件的恶劣性
我需要你下车,有些人就适合生活在地狱中，在人间谁和这些人有交集谁就倒了霉
三都超可爱,[打call]
晚天雪无,这件事情对于那些施暴者一定要严惩不贷，希望受害者早日康复，希望这件事情有一个较好的后续结果，作为一个普通人也希望能够学到一些自救和帮助的方法，代入到那个情景中能够有办法去制止去帮助减轻伤害哪怕一点点，这也是作为一个普通人的期望。（另外这件事的本质是黑恶势力对于弱势群体的伤害，而非挑起男女对立）
花间舞12138,我想问问，这种情况下，女方不小心拿到身边的碎玻璃滑了一下对面一个人，然后对面死了。会不会判刑
Stars歧棠君,气死偶列[辣眼睛]
咪咪仔呀呀呀,无论代入被害者还是目击者，我都不知道怎么做才能保护自己，解救他人，这才是令我恐慌，无助，气愤。难以想象这是2022年发生的事件，我们都是侥幸者，侥幸地安全地活着。
孜然小橘,至少十年至少十年
岔路上徘徊,"实话实说
对施暴者感到愤怒，对见义勇为的人感到由衷的敬佩，对在场没有作为的人表示能够理解，如果我在场，不一定就比他们做的更好，我不清楚，但也许我会鼓起一生中最大的勇气溜出去找地方报警吧
希望大家正确看待身边的事情：这个世界有好有坏，男人女人有好有坏，甚至同一个人，他的本性就像一枚硬币的两面，有好有坏。没必要因为一件事就去恐男恐女，我们要谨慎鉴别身边的人，小心地去交往，也要勇敢地去爱那些值得爱的人
有一件事情我想大家都应该认同，那就是，人都是自私的，至少绝大部分人如此。这是人的缺陷，也是人的本性。所以，那些自私背后展现出的无私，才是那么闪闪发亮，是值得我们穷尽一生追逐的星。感谢你们，勇敢而无私的人！"
划落浅海,那个抢劫五元被判三年的呢
冯-布劳恩,什么叫搭讪？
七花七叶7777,老师好
双一流大学杨杨学姐,信息泄露太可怕了
芥子爱戒指,男神，你两千多万粉丝[吃瓜]
尼你您,我看了评论，打人的视频。都不敢看视频
光明小学之狼,那如果张三只是把馄饨泼店员脸上，骂骂咧咧走了，估计报警也不会理了吧就……
悲伤薄荷鸡蛋汤,其实女生可以快速离开现场，或找人多的地方去，主要中国没这方面的教育，被打的几个女生一直停在被打的地方不动
冯-布劳恩,监控里面打人的说的什么，那个居然叫搭讪？！？！？！
巫哇仔,老师好
回鍋肉_,蹭热度
周杰伦奶茶加双倍珍珠,气死了
流年浅唱z,大概我打不过那么多人，但是发生在面前，真的没办法不去阻止
仿真神,如果先制止，再反击的话会不会太危险了
他都爷,说实话，对面那么多人，去过是我我也不敢见义勇为，因为可能会被打成重伤甚至更惨，只敢躲远点报警
小猫馒头儿,我真的好愤怒啊，愤怒的同时又很害怕，有点绝望的感觉，这个社会怎么了，她们真的好无辜啊，感觉就发生在身边。
爱笑的老顽童,罗老师发声了，太棒了
呜哒哒兔肌球,愤怒是正义的基础
AGJK丶爱莲,罗老师嗓子哑了
败类星星,理论归理论，实践归实践。现实中遇到袭击，要么躺平，要么打赢。因为你不一定会那么好运的被舆论介入……
钢厂一霸,我做梦也是一晚上醒醒睡睡都是梦到这个
钓蚯蚓的鱼,怎样可以判他无期
白橘子想吃黑香蕉か,现在7.5w+ 不愧是罗老师[OK]
ヨル・Forger,必须严惩！！！
哈哈重生,罗老师 辛苦了 感觉到你的痛苦
YaoCharm,令人愤怒😡
Remideth,这群真的不算黑恶势力吗
优佳益生菌,罗教授，关注了，特别喜欢你的作品
後藤ひとりちゃん,讲的挺好
窝是嫩蝶蝶,穷乡僻壤出匪徒
抬杠半仙,光照到的地方总是温暖而又富有安全感，光照不到的地方，黑暗吞没了万象。正义何时才能不被刻意需要才昭彰。
你看那花前月下,罗老师出山吧
无情的打call机器h,凌晨三点我还在冲浪，气的头疼！！！
蛤蛤人,上一次，看见一女的被三个人，打得在地上爬不起来。躲在厕所里报警，然后悄悄拍视频，害怕得不得了，躲起来都不敢开灯，🤣🤣🤣，
秋名山纯爱男孩,太气愤了
非洲的娘娘,感觉罗翔老师说话谨慎了
吴草草大魔王,所以，那到底属不属于正当防卫？如果不属于，那我还是只能偷偷报警，如果属于，可能确实会有另一群人借机泄愤
15058290688,属于正当防卫
DKFungLee,寻衅滋事罪，多用于某些人用来打击某些不听他话，反对他的人的手段而已
王-冠,"那目前我在镜头前侃侃而谈，
但有种声音在问我自己:
你的内心真正尊重了吗？
你说了那么多让你自我感动的话，
但如果在案发现场，
你会不会挺身而出？
像你想象中那么勇敢正直呢。"
荷甄平,反正我不会帮忙
虎妞儿哇,真心想提一个疑问，就是遇到这种情况怎么才能在保全自己的情况下帮助受害者呢，在不冷漠无情的情况保全了他人也保全了自己[tv_皱眉]
别演了_,话不能说太明，懂得都懂
氧化的月岛,我都不敢看原视频发生了什么，害怕气得睡不着觉了
榆子木生,做好人，得手里有“刀”
无名_w,如果没有把握正当防卫尺度的能力，我们还应该还击吗？如果本着正当防卫的想法，一击就把坏蛋揍死了怎么办呢？
源華君樂,唐山又出一起实名举报黑恶势利案
石墨烯推广人,很神奇，我看完那个视频，没有愤怒，满满满满的全是恐惧，代入感太强了，感觉我的头发都被扯住了，一直在害怕，很吓人，我已经没有愤怒这个情绪了，就是怕，我可能就是胆子小
献祭的岁月,我只想知道这个事情该怎么处理，我们遇到了能怎么办😮‍💨
洛杉矶彦祖,气死了
没妞吃不下饭,罗老师，我刚才的两条多角度分析性评论都秒无了，您觉得正义还真的存在么，在我们这里
东塞匹克,@-折又
缱绻丶丁丁,我来听课
Herro123,所以属于吗？见义勇为有无限防卫权吗？
qwrtuiaz,谢谢老师
我是个录像的,罗老师能说一下凌云s宣传造假 MG天蝎座广告这事吗
卡kq,考虑学个武术
Yaso二宽,想，但是不敢，因为即便保护了被打的路人，也会被处罚，甚至被打的路人都不愿给你作证
pandlee,必须学习！
蛋蛋__,[吃瓜]
Dumbiidj,作为一个唐山人真的很无语[大哭]
谁还不是JK啊,是极是极
连佩v,这是2022年吗，我能安全的走在路上吗
big碗,还是要多懂法[笑哭]
nineto10,最可怕的是有人共情那些施暴者
普拉顿桑克斯的凋亡,好家伙，我不是温血动物了
拒绝者xk,发酒疯打人的就应该严惩
小敦煌,如果施暴者同时有很多案底呢？会不会影响判罚？
半夜的汽笛声,这件事真的太让人无能为力了，我妈看完后都不知道怎么说了，根本想不出来怎么教育我去应对这种情况
十四个目标,@LeBronxue
虎门啊特,谢谢老师
ayqr123,"“你的内心，真正尊重吗？你说了那么多让你自我感动的话，但是如果在案发现场，你会不会挺身而出，像你想象中那么的勇敢和正直呢？”
蒙心自问，自我反省，暗自鼓励，相信自己一定也会有勇气迈出这一步！"
否极泰徕,我觉得寻衅滋事对于这群人来说太轻了，这是往死里打
66皮卡丘99,7.7万在看[打call]
扣肉王,"酒瓶子后面打碎了可以怼人但是8个人没办法了
也就陈海王能打的过了别的武术应该没办法"
娇花的鱼t,害
永斗的无言,这种情况，任何人遇到都是很无力的，四个人围殴一个人，换成任何一个人都没法解决，如何让普通人有能保护自己的能力很重要。
澹台彻,今日若我冷眼旁观，他日祸临己身，则无人为我摇旗呐喊。——鲁迅
GxMjk,罗老师那你呢？最后一句话你也回答下嘛
也许流苏,请老师详细讲解一下普通该如何合法见义勇为，谢谢
lsolatedspot,这两天太难受了，希望严惩，绝不能姑息。
正版北斗,会判多少，希望20年以上
mhklaf1,老罗去为这事搞一下，他们五年应该是轻了
藕粉的莲子,真的很愤怒，她就是我
可惜我每天都只能吃鱼罐头,呜呜呜罗老师发声了[委屈] 感觉内心无法描述的声音有了一个具体的说法
逍遥派女土匪,对邪恶冷漠，就是在驱逐正义
bili_279036864,太过分了
无风不起浪浪,等等，选择那里路人如果见义勇为把人打成重伤或者死亡这么多人选择属于正当防卫。[疑惑]
轩双双,来听罗老师了
一行行行行行行行行,我如果进厨房找了个菜刀把他们砍了算是寻衅滋事还是故意伤人呢？
Levana珊珊,赶紧死刑吧
就要乖张,男神你出来为这事发声了[大哭]
耶羊的奶好喝,直接拖出去犬刑
芒果味椰奶,张三老师都发声了，这件事应该会严肃处理吧[doge][doge]
懂你OK,必须严惩，太气人了
嘉越1212,如果见义勇为我认为应当是正当防卫。
啥也不是Bae,那这个算涉黑吗？据说涉黑判刑更重点
笑出声梅东,心疼女人，倒霉一辈子[脱单doge]
微尘细雪,网络一些过分冷静的理中客，真的是没有是非观就算了，还妄图让别人和他们一样冷血
殳斨,@淇克听的麦尔斯
张三的会客厅,老师好～[抱拳]
想名字很烦人,太气人了
柿柿柿我鸭,罗老师，我想请问一下，要是被打的人虽然伤得不严重但是因此患上了严重的抑郁症，该怎么判呢？也还是按照轻伤判么？
方知有捏,"每次看到这种案件真的很无奈 很无力[大哭]
为什么连平常的吃烧烤也会遇到人渣[大哭]
我父亲看到新闻的第一时间就给我买了一把伸缩的小刀
让我千万保护好自己
为什么这些人渣的父母不教育他们不要伤害别人呢[大哭]"
也v型,无解的问题
林克爱上什么达,这种情况反杀，算防卫过当吗，对面已经下死手了感觉
酋长雅阁,果断在闲鱼入了一本陈老师的无限制格斗术，图文并茂，简单易懂。准备先去罗翔老师那里学学刑法，心法稳固再深入学无限制，今后看到这种恶人，你就看我踢不踢你蛋就完了！
77君莫笑lgd,我是不会出手，会帮忙报警，不然送个人头就亏大了
诗雨依然,😢😢
神话小黑子,有一次宵夜，遇到几个混混找事，真是气的要死又要躲着忍着
印幻,集美们平时欺负一下四眼做题家就得了，遇到社会大哥了你还横，不揍你揍谁？
毛毛毛毛里奥,这个事应该可以定重伤了吧，都打成那样了
deer-F,气死我了啊啊啊
撒了疯就傻,持续关注
高狗德,我决定不再刻意减肥，只增强身体素质，只为在这种情况下自己有能力。
念完博士仍是宝宝,我不是凡夫俗子我[doge]
爱瑶瑶的喵,家暴什么时候也能列入故意伤害罪呢
猎鹿者22,没有安全感
缪斯大仙女,罗老师感冒了吗
5656371,涉黑涉恶了这是
萌吧大人,老师说的真好
bili_32688375961,，这
是的我要好好取个昵称,罗老师的话语总是那么的振聋发聩，发人深省
果壳中的银河,不想看到他们处理的轻了，希望有人能找找看看怎么能更严重处罚他们，因为这件事影响太广泛了，轻判了会变相鼓励那些恶人继续作恶。只有重判才能震慑那些恶行，让好人有安全感。
半夏summer_,罗老师好
景耀中,2022年了还有这种事
祈颂の桜,令人感叹
xiho,打开微信
烈日松餅喚穗穗,@欧的色白 罗翔老师发声了！
懒虫の大土豆,最后一句，把我问倒了
Q雪之下八幡Q,我觉得我肯定会见义勇为！
湘荆剑雨,九只[妙啊]都被抓了[打call]
戲說西遊,只能给你点赞，其他不说
九鱼ing,视频最后，罗老师问，我遇到这种事是否会见义勇为，我很想说会，可事实上却是我不会。我会害怕，会犹豫，会胆怯，我不仅仅是我，也是父母的依靠，我不能任性。所以，我一定会打电话报警，或者拍下他们的犯罪证据交给警方，但是抱歉，作为一个女生，我似乎只能做到这里了。[难过][难过][难过]
Tinillion,请教，这群人是否可定性为黑社会？
YLT3015,我明明知道愤怒没什么卵用，却还是忍不住愤怒
小叔叔的霜儿,一定要严惩
此用户不存在的呢,呜呜呜我手误点了举报，不好意思
都怪我不好啊,已抓到9个
Laborersfirst,[辣眼睛][辣眼睛][辣眼睛]气死我了
秋凉fz,这播放量是b占增速最快的一个了
每日看世界,看唐山了
昆明新手,人家不是喊60w解决了吗[口罩]
少年老狒狒,这几个人案底多的很，多几个案底这种它们也不会在乎，所以最好的惩罚我认为是社会的制约
嗨_兔子你好,这种会留案底吗
泡面anan,一天时间就700万播放量了。
若一去不回-,能死刑吗
JJonezz,罗老师说的好啊
木沐酱332,好像据说最后是关十天
极地光斑,冷静思考了罗老师最后的问题，我认为我在现场只能默默走远然后报警，最后自己能力的不足而愧疚一晚上[保卫萝卜_哭哭]
账号已注销,手滑
是一只小星星呐,来B站只为看罗翔老师，独关
赎罪之徒skr,广西网友请求罗老师出战[虎年]
古城潇笙,如果当时我在案发现场 我会第一时间报警 躲在一个隐蔽的地方怕视频留证据 我不会去帮忙也没有能力帮 到头来可能连我一块打 应当在保证自己安全的情况下帮助别人
_春日部防卫队Fire_,"刚才一波视频评论看的心寒
搁这里好多了，要不然怎么说还是有点知识的好。"
一树高呀,刚从微博过来，被喷子气死了，还是小破站的评论最理智
惊叹三连,@啦啦啦123231u
每日看世界,黑社会，不能严惩就不对。
给所有知道我名字的人,西南政法大学刘中伟言论也觉得也构成犯罪了
华伦天奴肩上扛-,蹭热度
世界第一的微笑狗,"问：资本的局限性是马克思讲出来的吗？
那性别对立是女权讲出来的吗？"
Dear雪饼,丧钟为谁而鸣，为我而鸣
梨花坊LHF,我TM直接冲到厨房拿刀砍
迷茫小螺,@殷学习
右肩の腹黑,罗老师，最让人敬佩的一点就是自我审视，真正的吾日三省吾身
光光--,[微笑]
豪宅小侯,罗老师，遇到这种情况我想帮忙如果不被判定为互殴？
会吸yan的猫,知善知恶是良知，为善去恶是格物
摸鱼滚打又一天,其实，这种人刚出来又再做案的，我建议至少这次判刑能加上他以往的所有犯罪判决年限，再加上不得减刑，那还差不多。不是的话再出来也是祸害
十鬼蛇雷庵,持续关注
吾乃旱獭,这才是真正的大v！说的话，发人深省！
白学习的白开水,死刑，啊啊啊啊啊啊，太生气了，给爷凌迟处死
爪巴爪巴爪-,严惩严惩
熊猫猫和白猫猫,看这种事情多了，越来越觉得无力，有口不能言，有手不能动，有腿也走不了，难过
tombcc,依法办事
脚人1988,不死刑不足以平民愤
顾陌笙113,罗老师，那个视频特别特别窒息  一仔细看就能细思极恐[大哭]
赵平安同学,罗老师，有没有办法让他判个四五百年啥的？
WOTB_VideoClip,她缺的是把剪刀
纯白色围巾,老师，如果我遇到这种情况，用陈鹤皋老师的方法，把对面反杀了会不会被判防卫过当？
一只一斤,一定要重判啊！
侧薏歡,罗老师终于替天行道了
残客陌西柒,迟到了还是七个小时
万物欧皇,罗翔老师喝酒了吗
兔兔是最可爱的小兔兔,超爱罗老师 喜欢他的刑法课！现在每次看到热点刑事案件都想听到他的声音！
K宝你抑郁何为,如果人把人当人来做尊重，没有任何的偏见，会不会出现新的文明？
哈哈哈哈哈哈1640,严惩
LIN同学说,老罗，ko他们
billchenli,请问老师，这次的涉案人员有九人，是否是涉黑行为？如果是的话会不会判更重？
咸鱼不知道猫知道,直接死刑吧！
下山兔子,第115条：放火、决水、爆炸以及投放毒害性、放射性、传染病病原体等物质或者以其他危险方法致人重伤、死亡或者使公私财产遭受重大损失的，处十年以上有期徒刑、无期徒刑或者死刑。这个算不算“其它危险方法”？
bili_40394546659,如果协助受害者进行反击可以算正当防卫就好了
人生如戏全靠演极,以前罗老师从来不讲热点话题的，这次的情节是相当的严重啊！
云顶god,如果知道事情的始末我会挺身而出，血还没凉。
为自己而生63,[高考加油]
萌の袋袋狗,绿衣男打量着说，把那女的抓路边给草了，开头大家仔细听，细思极恐，女的反不反抗结果都差不多
槐不腐,"她穿着碎花裙出门
被侵犯了
他们说，你不该穿着裙子
于是她默默的换上了长衣长裤
她们很害怕
但也都默默地变得穿着普通，保守
她又被侵犯了
他们说，你不该一个人出门
于是她们再不敢单独出门
她还是被侵犯了
他们说，你不该晚上出门
于是她们也不敢在晚上出门
但她再次被侵犯了
她已经记不清楚自己被侵犯了多少次
但她知道，这又是她的错
她错在哪呢？
也许……她不该出门?
但她还是没逃过侵犯
他登堂入室，对她进行侵犯
她知道，这还是她的错
错在哪呢？
也许，她不该活着
不该生在这个世界上
不该遇见他
她最后死了
她们也死了
这个世界
只剩下了他
和他们
也许，这才是他，或者他们想要的结果吧……
但凭什么?
凭什么？
凭什么!
她们谁也想不通
但似乎又明白为什么
因为他们是他们
而她们是她们。
她们生来就是弱者
他们生来就是强者
她们逐渐明白
变强，才是唯一的出路
不想忍让，只能变强。"
书婉书婉婉,说的好啊老师
烟萝月,我不懂刑法，想问一下，这个事件大概能判几年呢？是按寻衅滋事罪判还是寻衅滋事+故意伤害呢?（我个人觉得是后者）这种事件性质真的很恶劣，有可能判到十年以上吗？
施施小把戏,这个事情真的气死我了😤
陈岱安大人,袖手旁观的话，余生都会活在内疚中，一定要伸出援手的
怀景握瑜1,真的谢谢老师
-稍纵即逝,我看的真的好气一定要死刑让他们感到绝望
骑手雪糕,气死我了，恨不得拿个啤酒瓶砸死[大哭]
梦会生花,8.1同时在看
一块抗压,感谢老师[爱心]
ぃ仰望ッ,总算等到你了[doge]
琴酒你真的不行啊,持续关注，真的好生气啊，看着真的能够感同身受[大哭]
MYM狐狸,老罗要快乐
广水鹧鸪哨,就等着罗老师来说说这个事
清风折柳你要走,[热词系列_张三]
天偶尔也掉猪,这几个灾种就该直接炮绝
bili_78942804132,性质恶劣！
莽莽的碌碌,[辣眼睛]视频看了也很气愤这样打人太过分了这是打算杀了这女的！（下面的疑问没有任何袒护施暴者的成分）但有一点我想知道也许以后防止自己犯错，视频开始的时候被调戏女子动手了，她朋友用酒瓶打施暴者，这个算什么？正当防卫吗[无语]换算一下，如果换成一男一女被调戏，男的提起酒瓶打了施暴者几十下也算正当防卫吗[辣眼睛]
我是T屁屁,很生气很窒息很难过
lepdawn,令人感慨
子鱼55,我在贴吧看见有人说以前见过，我以为开玩笑，发了张去年4.22公安发布的滦南县公安发布的，也是是烧烤店，，
花了六块钱,如果对方有案底呢？或者涉黑呢？
LanaSwift_镜花激推版,我不会挺身而出，但是我会报警和找多几个人一起帮助那个人，因为我一个女生打不过啊草，先保护自身安全，再想办法帮助他人嘛
楚梦海,@不太聪明20
_SloanN,当时的场景，旁观者说已经吓呆了，语言组织都困难，虽然事后觉得自己在场肯定想帮她，但我也不敢保证如果是我当时能不能反应过来，所以那个被拦住的女生真的太勇敢了！！
陪鼬淋雨,“正义是杀不完的，因为真理永远存在.”
暴徒.呵呵,互殴警告
金闪闪的宝藏闪闪发光,罗老师[大哭][大哭][大哭]
好想拍一次拖,我不知道当时的路人是怎么容忍到这种行为的。这人我看到唐山路人的冷漠。如果我当时在场肯定也是会义无反顾的上去阻止
墨悟悦,终于等到了，我想看看如果见义勇为的话，需要怎么做
君之所至已非吾之所即,为什么要打人？
长不大的半老徐娘,我也在问我自己这个问题：我会挺身而出吗？
太空尘,https://www.bilibili.com/video/BV1Dx411Y7mm?share_source=copy_web
影子童话,从昨天就在等老师的视频了！
JYFan969,山東麦当劳
君无伊,"我们认为是正当防卫，判决属于防卫过当甚至互殴。
所以建议这是制止家暴外宣，高考加20分。"
bili_84404090925,气死气死气死
须弥张三,8小时700万播放量？？？？
坐井观天小青蛙,"1
1"
小青蛙王子八,太气人啦[生气]
永远在路上1987,罗老师这次站原告这边了啊
匿匿纸,看网上传的版本是黑社会火并。
踩着我鞋了,@Sleepyyonhao1
风月执行官,有人科普一下为什么不属于正当防卫吗눈_눈[脸红]
Chalk巧恪栗,诶
Faye_X4,我可能不会挺身而出[大哭]
账号已注销,罗翔老师说得很好
画船听雨眠_o,哇，看知乎和b站大家三观都很正我就放心了，看朋友圈和微博直接看的我头大
メジルシ,很愤怒又无助，唉[保卫萝卜_哭哭]
Ni-MOO,抓和判，还有一个很重要，判了后服刑期间不能给予任何减刑。。
机智の楠哥,谢谢老师
潇惜染,气死人了，必须严惩，这群畜生
奶水不可斗量,那么问题来了，我作为路人把施暴者打死了，我到底算不算正当防卫？还是也要被判刑？
是凡凡呀o_o,作为女性我身处其中确实不会上去和一群酒鬼硬杠，但是我会赶紧报警。希望这件事能从重处罚给所有潜在的犯罪分子震慑。
bili_87337037422,北方人說的“餛飩”和南方人說的“抄手”是同一種東西嗎？
丶盖伦,我是搞维修的，我电瓶上有扳手榔头油漆，我觉得我能泼了油漆就跑吸引火力。
80639830187_bili,最后一个在江苏被抓？当场报警，怎么跑到江苏的
欢迎12,齁咸齁咸 还真能打出来 我老家说这个齁咸齁咸的
健身爱好者小黄,老师好[微笑]
养猪的建筑师,所以旁观者动手了会不会被处罚？
幽灆倩,坏的是人心
就叫我阿伟叭,希望我们都能像自己所说的那么勇敢而正直[大哭]
Stefan---,见义勇为成本太高了，如果允许在场的人可以使用任何非管制的武器，可以无限制的进行攻击来阻止施暴者，我想受害者能少受一点伤害
续缘银河,来了
梦来的真实,罗老师 你不怕他们出来后找你吗
三阿哥别长高了,真的好无力好难受
妖孽莫乱我道心,当代蒋门神吗[藏狐]
huilang,说实话，以前看到罗老师的面相，感觉是个坏蛋，但看了几次他的视频，感觉是个好人
鳌虾CRS,若当时有人拿着一车板砖远程扔那些加害者身上算不算见义勇为
仔仔原___--ZZY,微博判刑，死刑起步
无敌小酸酸,替天行道，义不容辞
瓜皮从天降,影响极其恶劣 会不会从严判罪？
饿青,恐怖的播放量
小小瓶盖儿x,真的代入一下，我都不知道我该怎么办[大哭]
八戒冒泡,希望将来的手机和110系统 可以同步视讯报警 这样相当于可以把犯罪事实进行110直播 希望可以对罪犯有一定的威慑
企鹅巨宝宝,"有些人看不到罗老师，他们的生活没有罗老师
一辈子都没有

因为各种原因成为了，罗老师口中的张三"
鱼鱼鱼鱼酥饼,感觉微博和抖音都跑偏了，都是搞性别对立的
车祸猛于虎丶,罗老师
少女之哀伤,不，我一点都不愤怒
大海花开河里,老师强制侮辱猥亵罪呢，不涉及这个哇
道长鸽鸽,严惩
小11蔡萝莉,人，少点暴戾，多点清醒！安安静静，平平淡淡不好么！
看视频101,几个打人的不判刑  我们都不服
水川哥,我看了一下原视频，在整个过程中我都感受到了一种无力感，感觉好绝望，这多大仇多大怨啊？
勤奋的双子,罗老师少有的发声啊
老叫花子arpk,案发现场我只会偷偷远离跑远点再说
